pair,timeframe,filename,candles,start,end
BTC-USD,M5,BTC_USD_M5_2020_2023.parquet,420585,2020-01-01 00:00:00+00:00,2023-12-31 23:55:00+00:00
BTC-USD,M15,BTC_USD_M15_2020_2023.parquet,140208,2020-01-01 00:00:00+00:00,2023-12-31 23:45:00+00:00
BTC-USD,H1,BTC_USD_H1_2020_2023.parquet,35058,2020-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00
ETH-USD,M5,ETH_USD_M5_2020_2023.parquet,420586,2020-01-01 00:00:00+00:00,2023-12-31 23:55:00+00:00
ETH-USD,M15,ETH_USD_M15_2020_2023.parquet,140208,2020-01-01 00:00:00+00:00,2023-12-31 23:45:00+00:00
ETH-USD,H1,ETH_USD_H1_2020_2023.parquet,35058,2020-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00
EUR_USD,M5,EUR_USD_M5_2020_2023.parquet,298197,2020-01-01 22:00:00+00:00,2023-12-29 21:55:00+00:00
EUR_USD,M15,EUR_USD_M15_2020_2023.parquet,99619,2020-01-01 22:00:00+00:00,2023-12-29 21:45:00+00:00
EUR_USD,H1,EUR_USD_H1_2020_2023.parquet,24908,2020-01-01 22:00:00+00:00,2023-12-29 21:00:00+00:00
GBP_USD,M5,GBP_USD_M5_2020_2023.parquet,298031,2020-01-01 22:00:00+00:00,2023-12-29 21:55:00+00:00
GBP_USD,M15,GBP_USD_M15_2020_2023.parquet,99613,2020-01-01 22:00:00+00:00,2023-12-29 21:45:00+00:00
GBP_USD,H1,GBP_USD_H1_2020_2023.parquet,24907,2020-01-01 22:00:00+00:00,2023-12-29 21:00:00+00:00
